Data	medio	max	min
20190101	19093.000833333354	19818.850000000093	18968.48999999999
20190201	19097.84414166666	19823.29310000001	18974.037299999967
20190301	19102.68744999997	19827.736200000043	18979.584599999944
20190401	19107.530758333276	19832.179300000076	18985.13189999992
20190501	19112.374066666584	19836.62240000011	18990.679199999897
20190601	19117.217375000007	19841.065500000026	18996.226499999873
20190701	19122.060683333315	19845.50860000006	19001.773800000083
20190801	19126.903991666622	19849.951700000092	19007.32110000006
20190901	19131.74729999993	19854.39480000001	19012.868400000036
20191001	19136.590608333354	19858.837900000042	19018.415700000012
20191101	19141.43391666666	19863.281000000075	19023.96299999999
20200101	19577.331666666665	20263.160000000033	19523.219999999972
20200201	19582.174974999973	20267.603100000066	19528.76729999995
20200301	19587.01828333328	20272.0462000001	19534.314599999925
20200401	19591.861591666588	20276.489300000016	19539.8618999999
20200501	19596.70490000001	20280.93240000005	19545.40919999988
20200601	19601.54820833332	20285.375500000082	19550.956500000088
20200701	19606.391516666627	20289.818600000115	19556.503800000064
20200801	19611.234824999934	20294.261700000032	19562.05110000004
20200901	19616.07813333324	20298.704800000065	19567.598400000017
20201001	19620.921441666665	20303.147900000098	19573.145699999994
20201101	19625.764749999973	20307.591000000015	19578.69299999997
